Hall of Fame	Fame-O-Meter
Lacey Chabert	93.62
Andrew W. Walker	85.20
Danica McKellar	72.06
Cindy Busby	71.05
Trevor Donovan	70.03
Candace Cameron Bure	69.84
Jen Lilley	67.29
Alison Sweeney	66.75
Stephen Huszar	62.79
Corey Sevier	62.63
Victor Webster	62.34
Tyler Hynes	61.32
Taylor Cole	60.71
Autumn Reeser	60.03
Barbara Niven	59.35
Wes Brown	59.04
Michael Rady	58.92
Niall Matter	58.60
Christopher Russell	58.10
Brooke Nevin	57.73
Rachel Boston	57.62
Alicia Witt	56.98
Kellie Martin	56.53
Nikki Deloach	56.45
Cameron Mathison	56.24
Paul Campbell	56.11
Damon Runyan	56.05
Peter Benson	55.99
Teri Polo	55.56
Lauren Holly	55.44
Marilu Henner	55.33
Jessica Lowndes	55.18
Ryan Paevey	54.97
Kevin McGarry	54.75
Luke Macfarlane	54.59
Sam Page	54.30
Paul Greene	54.20
Ashley Williams	53.89
Brennan Elliott	53.32
Jesse Hutch	53.30
Brant Daugherty	53.06
Lisa Durupt	52.90
Brendan Penny	52.55
Lexi Giovagnoli	52.33
Casey Manderson	52.13
Jessy Schram	52.09
Jill Wagner	52.04
Brittany Bristow	51.93
Teryl Rothery	51.78
Erin Cahill	51.58
Kimberley Sustad	51.46
Jeremy Guilbaut	51.43
Greyston Holt	51.36
Alexa PenaVega	51.33
Lini Evans	51.25
Holly Robinson Peete	51.04
Jackée Harry	50.88
Jon Cor	50.83
Dean Cain	50.67
Marcus Rosner	50.41
Steve Lund	49.99
Merritt Patterson	49.88
Chad Michael Murray	49.81
Jonathan Bennett	49.62
Ashley Newbrough	49.56
Kristoffer Polaha	49.52
Peter Porte	49.37
James Tupper	49.04
Ali Liebert	48.91
Dan Payne	48.70
Brooke D'Orsay	48.65
Gabriel Hogan	48.56
Greg Evigan	48.50
Edward Asner	48.47
Melissa Joan Hart	48.46
Donna Benedicto	48.45
Hilarie Burton	48.37
Beth Broderick	48.37
Britt Irvin	48.24
Christine Chatelain	48.22
Kimberly-Sue Murray	48.21
Kimberly Williams-Paisley	48.21
Patrick Duffy	48.18
Anna Hutchison	47.96
Lindy Booth	47.90
Genelle Williams	47.82
Gwynyth Walsh	47.79
Bethany Joy Lenz	47.77
Paul Essiembre	47.71
Meredith Baxter	47.63
Marc Blucas	47.63
Julie Gonzalo	47.53
Charlene Tilton	47.51
Tori Anderson	47.48
Giles Panton	47.45
Natalie Lisinska	47.44
Kavan Smith	47.26
Anna Van Hooft	47.18
Dylan Neal	47.03
Allison Hossack	46.89
Katie Leclerc	46.80
Andrew Airlie	46.79
Anne Heche	46.73
Catherine Bell	46.72
Andrea Brooks	46.65
Bailee Madison	46.62
Robin Dunne	46.61
Warren Christie	46.48
Mary Long	46.44
Dean Geyer	46.42
Gail O'Grady	46.37
Emilie Ullerup	46.35
Natalie Hall	46.35
Erin Karpluk	46.32
Chris McNally	46.20
Sean Faris	46.18
Shirley Jones	46.15
Kaleb Alexander	46.15
Jordan Bridges	46.07
Tammy Gillis	46.07
Yan-Kay Crystal Lowe	46.05
Marla Sokoloff	46.03
Gregory Harrison	46.02
Ryan McPartlin	45.96
Mark Deklin	45.94
Mark Ghanimé	45.93
Karissa Lee Staples	45.92
Corbin Bernsen	45.90
Tiya Sircar	45.86
David Haydn-Jones	45.74
Josie Bissett	45.72
Richard Thomas	45.69
Becca Tobin	45.64
Roma Downey	45.62
Jillian Murray	45.60
Matthew Kevin Anderson	45.59
Eloise Mumford	45.58
Victor Zinck Jr.	45.46
Emily Tennant	45.41
Ron Lea	45.29
Elysia Rotaru	45.23
Megan Park	45.21
Jocelyn Hudon	45.21
Vivica A. Fox	45.16
