tconst	nconst	category
tt0102842	nm0000335	actress
tt0102842	nm0000686	actor
tt0102842	nm0709634	actress
tt0102842	nm0825555	actress
tt0108159	nm0000335	actress
tt0108159	nm0000686	actor
tt0108159	nm0709634	actress
tt0108159	nm0068110	actor
tt0140340	nm0001714	actor
tt0140340	nm0000492	actress
tt0140340	nm0241232	actor
tt0140340	nm0663820	actress
tt0184799	nm0000646	actress
tt0184799	nm0960912	actress
tt0184799	nm0001367	actor
tt0184799	nm0017698	actress
tt0192573	nm0000335	actress
tt0192573	nm0000686	actor
tt0192573	nm0001588	actor
tt0192573	nm0372493	actor
tt0193732	nm0000336	actor
tt0193732	nm0005571	actress
tt0193732	nm0449940	actor
tt0193732	nm0141617	actress
tt0201513	nm2258992	actress
tt0201513	nm0004806	actress
tt0201513	nm0479527	actor
tt0201513	nm0036526	actor
tt0201513	nm0134631	actress
tt0217066	nm0000393	actor
tt0217066	nm0000530	actor
tt0217066	nm0000176	actress
tt0217066	nm0002039	actress
tt0224816	nm0000571	actress
tt0224816	nm0001251	actor
tt0224816	nm0001564	actress
tt0224816	nm0097842	actor
tt0248415	nm0004884	actress
tt0248415	nm0001513	actor
tt0248415	nm0525240	actor
tt0248415	nm0948757	actress
tt0255605	nm0001669	actress
tt0255605	nm0410464	actor
tt0255605	nm0267812	actress
tt0255605	nm0471036	actress
tt0257679	nm0000458	actor
tt0257679	nm0001527	actress
tt0257679	nm0000903	actor
tt0257679	nm0079374	actress
tt0261203	nm0001737	actor
tt0261203	nm0000775	actress
tt0261203	nm0551908	actress
tt0261203	nm0175262	actor
tt0262682	nm0000933	actress
tt0262682	nm0635139	actor
tt0262682	nm0410127	actress
tt0262682	nm0539678	actor
tt0267693	nm0089485	actor
tt0267693	nm0090469	actress
tt0267693	nm0101248	actor
tt0267693	nm0714919	actor
tt0284123	nm0931090	actress
tt0284123	nm0001714	actor
tt0284123	nm0167086	actor
tt0284123	nm0891786	actress
tt0299134	nm0001277	actor
tt0299134	nm0004787	actress
tt0299134	nm0001487	actor
tt0299134	nm0607377	actor
tt0325706	nm0001259	actress
