tconst	nconst	category
tt0102842	nm0000335	actress
tt0102842	nm0000686	actor
tt0102842	nm0709634	actress
tt0102842	nm0825555	actress
tt0102842	nm0429958	director
tt0102842	nm0533676	writer
tt0102842	nm0811807	writer
tt0108159	nm0000335	actress
tt0108159	nm0000686	actor
tt0108159	nm0709634	actress
tt0108159	nm0068110	actor
tt0108159	nm0765121	director
tt0108159	nm0533676	writer
tt0140340	nm0001714	actor
tt0140340	nm0000492	actress
tt0140340	nm0241232	actor
tt0140340	nm0663820	actress
tt0140340	nm0193303	director
tt0140340	nm0278277	writer
tt0140340	nm0376967	writer
tt0184799	nm0000646	actress
tt0184799	nm0960912	actress
tt0184799	nm0001367	actor
tt0184799	nm0017698	actress
tt0184799	nm0842830	director
tt0184799	nm0769761	writer
tt0192573	nm0000335	actress
tt0192573	nm0000686	actor
tt0192573	nm0001588	actor
tt0192573	nm0372493	actor
tt0192573	nm0429958	director
tt0192573	nm0533676	writer
tt0193732	nm0654112	writer
tt0193732	nm0000336	actor
tt0193732	nm0005571	actress
tt0193732	nm0449940	actor
tt0193732	nm0141617	actress
tt0193732	nm0770918	director
tt0193732	nm0361069	writer
tt0193732	nm0548736	writer
tt0193732	nm0742302	writer
tt0193732	nm0459350	writer
tt0201513	nm2258992	actress
tt0201513	nm0004806	actress
tt0201513	nm0479527	actor
tt0201513	nm0036526	actor
tt0201513	nm0134631	actress
tt0201513	nm0927042	director
tt0201513	nm1046719	writer
tt0217066	nm0000393	actor
tt0217066	nm0000530	actor
tt0217066	nm0000176	actress
tt0217066	nm0002039	actress
tt0217066	nm0936404	director
tt0217066	nm0785245	writer
tt0224816	nm0000571	actress
tt0224816	nm0001251	actor
tt0224816	nm0001564	actress
tt0224816	nm0097842	actor
tt0224816	nm0793174	director
tt0224816	nm0059053	writer
tt0224816	nm0588588	writer
tt0224816	nm0707696	writer
tt0248415	nm0004884	actress
tt0248415	nm0001513	actor
tt0248415	nm0525240	actor
tt0248415	nm0948757	actress
tt0248415	nm0670282	director
tt0248415	nm0009165	writer
tt0248415	nm0505537	writer
tt0248415	nm0123078	writer
