tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0102842	tvMovie	Sarah, Plain and Tall	1991	98	Drama,Family,Romance	7.3	2160
tt0108159	tvMovie	Skylark	1993	95	Drama	7.2	1014
tt0140340	tvMovie	The Love Letter	1998	99	Fantasy,Romance	7.2	2104
tt0184799	tvMovie	Ordinary Miracles	2005	85	Drama	6.4	531
tt0192573	tvMovie	Sarah, Plain & Tall: Winter's End	1999	95	Drama	6.8	955
tt0193732	tvMovie	Missing Pieces	2000	96	Drama	5.8	164
tt0201513	tvMovie	Like Cats and Dogs	2004	120	Romance	7.3	54
tt0217066	tvMovie	A Storm in Summer	2000	94	Drama	6.9	480
tt0224816	tvMovie	Cupid & Cate	2000	100	Drama,Romance	6.1	753
tt0248415	tvMovie	Second Honeymoon	2001	120	Comedy,Romance	5.3	324
tt0255605	tvMovie	Snow White: The Fairest of Them All	2001	93	Adventure,Family,Fantasy	5.7	4551
tt0257679	tvMovie	The Flamingo Rising	2001	94	Drama	5.8	297
tt0261203	tvMovie	Prince Charming	2001	87	Adventure,Comedy,Family	6.0	2379
tt0262682	tvMovie	Personally Yours	2000	96	Comedy,Family,Romance	6.4	546
tt0267693	tvMovie	In Love and War	2001	90	Drama,Romance,War	6.5	380
tt0284123	tvMovie	Follow the Stars Home	2001	103	Drama,Family,Romance	7.1	1018
tt0299134	tvMovie	The Seventh Stream	2001	100	Drama,Fantasy,Romance	6.9	411
tt0325706	tvMovie	The Last Cowboy	2003	100	Drama,Western	6.2	588
tt0338410	tvMovie	Santa, Jr.	2002	100	Comedy,Fantasy,Romance	5.4	551
tt0338434	tvMovie	Silent Night	2002	100	Biography,Drama,War	7.5	1634
tt0340380	tvMovie	Straight from the Heart	2003	88	Drama,Romance	6.8	1669
tt0342639	tvMovie	The King and Queen of Moonlight Bay	2003	84	Drama	6.6	787
tt0343531	tvMovie	A Christmas Visitor	2002	100	Drama	6.9	1140
tt0345591	tvMovie	Love Comes Softly	2003	84	Drama,Family,Romance	7.3	6316
